330
Fairmount_Heights	MD	38.90095	-76.91553	1494	31
Fallston	MD	39.51455	-76.41107	8958	142
Federalsburg	MD	38.69428	-75.77216	2739	1
Ferndale	MD	39.18316	-76.64024	16746	24
Forest_Glen	MD	39.01455	-77.0547	6582	96
Forest_Heights	MD	38.80956	-76.99803	2447	48
Forestville	MD	38.84511	-76.87497	12353	85
Fort_George_G_Mead_Junction	MD	39.12594	-76.78914	9505	57
Fort_Meade	MD	39.10815	-76.74323	9327	53
Fort_Washington	MD	38.70734	-77.02303	23717	32
Fountainhead-Orchard_Hills	MD	39.68636	-77.71901	5666	195
Four_Corners	MD	39.02039	-77.01275	7945	103
Frederick	MD	39.41427	-77.41054	65239	87
Friendly	MD	38.75178	-76.97859	9250	71
Friendship_Village	MD	38.96322	-77.09002	4698	90
Friendship_Village_2	MD	38.96289	-77.08887	4791	93
Frostburg	MD	39.65814	-78.92836	9002	631
Fruitland	MD	38.32206	-75.6202	4866	11
Fulton	MD	39.15094	-76.92303	2049	138
Gaithersburg	MD	39.14344	-77.20137	59933	153
Gambrills	MD	39.06705	-76.66524	2800	46
Garrison	MD	39.40594	-76.76053	8823	135
Germantown	MD	39.17316	-77.27165	86395	134
Glassmanor	MD	38.819	-76.99859	17295	19
Glen_Burnie	MD	39.16261	-76.62469	67639	17
Glenarden	MD	38.92928	-76.86164	6000	31
Glenmont	MD	39.05789	-77.0497	13529	135
Glenn_Dale	MD	38.98761	-76.82053	13466	35
Goddard	MD	38.98955	-76.85331	6177	55
Golden_Beach	MD	38.48985	-76.68218	3796	2
Grasonville	MD	38.95817	-76.21023	3425	3
Green_Haven	MD	39.13955	-76.54774	19326	15
Green_Valley	MD	39.30927	-77.29721	12262	121
Greenbelt	MD	39.00455	-76.87553	23068	48
Greensboro	MD	38.97372	-75.80493	1931	5
Hagerstown	MD	39.64176	-77.71999	39662	164
Halfway	MD	39.62065	-77.75888	10701	184
Hampstead	MD	39.60483	-76.84998	6323	283
Hampton	MD	39.42288	-76.58469	5052	103
Hancock	MD	39.69898	-78.17973	1545	134
Hanover	MD	39.19289	-76.72414	38088	32
Havre_de_Grace	MD	39.54928	-76.09162	12952	17
Hebron	MD	38.42012	-75.68771	1084	12
Herald_Harbor	MD	39.05372	-76.56913	2603	15
Highfield-Cascade	MD	39.71616	-77.48282	1112	422
Highland	MD	39.179	-76.95748	1034	158
Hillandale	MD	39.0265	-76.97414	6043	80
Hillcrest_Heights	MD	38.83289	-76.95942	16469	84
Hillsmere_Shores	MD	38.94011	-76.49496	2872	16
Hughesville	MD	38.53262	-76.78386	2197	54
Hunt_Valley	MD	39.49983	-76.64108	23915	91
Huntingtown	MD	38.61595	-76.61302	2587	49
Huntingtown_Town_Center	MD	38.62095	-76.61607	3311	52
Hurlock	MD	38.62428	-75.85438	2092	11
Hyattsville	MD	38.95594	-76.94553	17557	32
Ilchester	MD	39.25094	-76.76469	23476	33
Indian_Head	MD	38.60012	-77.1622	3844	29
Jarrettsville	MD	39.60455	-76.47774	2916	204
Jefferson	MD	39.36205	-77.53165	2111	178
Jessup	MD	39.14927	-76.77525	7137	63
Joppatowne	MD	39.45789	-76.35524	12616	74
Keedysville	MD	39.48621	-77.69971	1152	120
Kemp_Mill	MD	39.039	-77.01914	12564	103
